Complexity,Loss,Equation
1,0.004195468,"2.0842276"
5,0.0036614502,"((x0 * -0.0570061) + 2.1423805)"
6,0.0027964555,"((log(x0) * -0.01954258) + 2.0806506)"
8,0.0019449884,"(((log(x0) * -1.0011089) + x0) + 1.0397993)"
10,2.5394198e-5,"(((log(x0 * x1) * -0.9989926) + x1) + x0)"
12,2.0729767e-5,"(((log((x0 + 0.0020296788) * x1) * -1.0010773) + x1) + x0)"
14,2.0467623e-5,"(((log((x0 + (x1 * 0.0018802123)) * x1) * -1.000042) + x1) + x0)"
16,2.046006e-5,"(((log((x0 + (x1 * 0.0021157349)) * x1) * -1.000042) + x1) + (x0 + 0.0003039105))"
17,1.966033e-5,"(((log(x0 + -0.4962276) * 0.0029413046) + ((log(x0 * x1) * -1.0034721) + x1)) + x0)"
18,1.8775621e-5,"(((log(log(x0 + x0)) * 0.0029413046) + ((log(x0 * x1) * -1.0034721) + x1)) + x0)"
20,1.8574883e-5,"(((log(log(x0 + x0) * x1) * 0.0029413046) + ((log(x0 * x1) * -1.0034721) + x1)) + x0)"
